2.39;162.67;160;160.20;170.76;11448
120.48;348.00;121.00;120;120.31;101.75;11324
120.64;347.93;121.00;120;119.71;101.25;11328
120.46;347.34;122.33;120;119.84;101.35;11436
120.59;348.14;124.33;120;120.04;101.52;11344
121.18;350.35;124.33;120;119.79;101.32;11336
121.64;351.43;122.67;120;119.11;100.76;11452
121.42;350.15;123.00;120;118.84;100.53;11348
121.10;349.39;123.67;120;119.31;100.92;11336
121.16;349.90;123.67;120;119.49;101.07;11336
121.33;350.37;120.67;120;119.29;100.91;11336
120.87;348.14;121.00;120;119.11;100.75;11356
120.35;346.90;121.00;120;119.88;101.39;11328
120.26;346.88;122.33;120;120.15;101.61;11340
120.56;348.15;121.00;120;120.14;101.60;11344
120.63;347.86;121.00;120;119.69;101.23;11324
120.44;347.28;122.00;120;119.86;101.38;11436
120.52;347.87;123.33;120;120.05;101.53;11340
120.94;349.42;122.00;120;119.85;101.37;11436
121.03;349.13;122.00;120;119.35;100.95;11328
120.82;348.49;122.67;120;119.53;101.10;11328
120.84;348.79;123.33;120;119.73;101.26;11348
121.08;349.67;123.33;120;119.61;101.16;11340
121.25;350.08;121.67;120;119.34;100.95;11352
120.99;348.79;122.00;120;119.22;100.84;11344
120.71;348.16;122.00;120;119.67;101.22;11332
120.68;348.21;123.00;120;119.79;101.32;11448
120.90;349.13;121.00;120;119.78;101.31;11324
120.76;348.11;122.00;120;119.43;101.02;11436
120.43;347.19;122.00;120;119.83;101.35;11328
120.49;347.78;123.00;120;120.08;101.56;11328
120.88;349.14;121.00;120;119.87;101.38;11432
120.79;348.20;121.00;120;119.41;101.01;11324
120.45;347.22;122.00;120;119.80;101.32;11332
120.49;347.78;123.33;120;120.08;101.55;11332
120.93;349.39;123.33;120;119.88;101.39;11336
121.26;350.17;121.67;120;119.38;100.98;11352
121.02;348.88;122.00;120;119.18;100.81;11328
120.72;348.18;122.00;120;119.64;101.20;11336
120.68;348.20;123.00;120;119.79;101.32;11432
120.90;349.12;121.00;120;119.78;101.31;11332
120.76;348.11;122.00;120;119.44;101.02;11416
120.60;347.96;122.00;120;119.85;101.37;11316
120.68;348.26;123.00;120;119.83;101.35;11332
120.92;349.19;121.00;120;119.76;101.29;11356
120.77;348.13;121.00;120;119.42;101.01;11340
120.43;347.18;122.00;120;119.83;101.34;11344
120.49;347.77;123.33;120;120.09;101.56;11324
120.93;349.40;123.33;120;119.88;101.39;11332
121.26;350.17;121.67;120;119.38;100.98;11444
121.02;348.88;122.00;120;119.18;100.81;11344
120.72;348.18;123.00;120;119.64;101.20;11436
120.68;348.20;123.00;120;119.79;101.32;11320
120.90;349.12;121.00;120;119.78;101.31;11332
120.76;348.11;122.00;120;119.44;101.02;11352
120.60;347.96;122.00;120;119.85;101.37;11320
120.68;348.26;123.00;120;119.83;101.35;11332
120.92;349.19;121.00;120;119.76;101.29;11352
120.77;348.13;121.00;120;119.42;101.01;11340
120.43;347.18;122.00;120;119.83;101.34;11332
120.49;347.77;123.33;120;120.09;101.56;11328
120.93;349.40;123.33;120;119.88;101.39;11328
121.26;350.17;121.67;120;119.38;100.98;11460
121.02;348.88;122.00;120;119.18;100.81;11336
120.72;348.18;123.00;120;119.64;101.20;11412
120.85;348.97;123.00;120;119.81;101.34;11328
121.09;349.60;121.00;120;119.52;101.10;11328
120.81;348.16;122.00;120;119.32;100.93;11352
120.59;347.89;122.00;120;119.86;101.37;11332
120.67;348.22;123.00;120;119.85;101.36;11336
120.92;349.19;121.00;120;119.76;101.29;11336
120.77;348.13;121.00;120;119.42;101.01;11332
120.43;347.18;122.00;120;119.82;101.34;11440
120.49;347.77;123.33;120;120.08;101.56;11324
120.93;349.40;123.33;120;119.88;101.39;11332
121.26;350.17;121.67;120;119.38;100.98;11436
121.02;348.88;122.00;120;119.18;100.81;11332
120.72;348.18;123.00;120;119.65;101.20;11348
120.85;348.97;123.00;120;119.81;101.34;11332
121.09;349.60;121.00;120;119.52;101.10;11328
